sortedID,dataID,NAME
1,7,ALGOMA
2,43,BRANT
3,21,BRUCE
4,2,COCHRANE
5,32,DUFFERIN
6,30,DURHAM
7,47,ELGIN
8,50,ESSEX
9,20,FRONTENAC
10,28,GREY
11,46,HALDIMAND-NORFOLK
12,18,HALIBURTON
13,39,HALTON
14,42,HAMILTON-WENTWORTH
15,14,HASTINGS
16,38,HURON
17,25,Island-county-stat
18,1,KENORA
19,48,KENT
20,49,LAMBTON
21,16,LANARK
22,22,LEEDSandGRENVILLE
23,27,LENNOXandADDINGTON
24,10,MANITOULIN
25,34,METROPOLITAN-TORONTO
26,44,MIDDLESEX
27,19,MUSKOKA
28,45,NIAGARA
29,6,NIPISSING
30,24,NORTHUMBERLAND
31,15,OTTAWA-CARLTON
32,41,OXFORD
33,11,PARRY-SOUND
34,35,PEEL
35,40,PERTH
36,29,PETERBOROUGH
37,12,PRESCOTTandRUSSELL
38,31,PRINCE-EDWARD
39,3,RAINY-RIVER
40,13,RENFREW
41,26,SIMCOE
42,17,STORMONT-DUNDASandGL
43,9,SUDBURY
44,8,SUDBURY-REGION
45,4,THUNDER-BAY
46,5,TIMISKAMING
47,23,VICTORIA
48,37,WATERLOO
49,36,WELLINGTON
50,33,YORK
